datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/10/05 16:00:00,AQUA_M-T,Brasil,CEARA,LAVRAS DA MANGABEIRA,Caatinga,10,0,1,-66.890,-389.240,64.8
2019/10/06 16:45:00,AQUA_M-T,Brasil,PERNAMBUCO,ARARIPINA,Caatinga,102,0,1,-73.930,-404.050,18.2
2019/10/07 17:25:00,AQUA_M-T,Brasil,MATO GROSSO,IPIRANGA DO NORTE,Amazonia,2,8,0.1,-119.460,-561.510,9.6
2019/10/02 17:05:00,AQUA_M-T,Brasil,SANTA CATARINA,MAFRA,Mata Atlantica,7,0,0.2,-261.760,-499.290,7
2019/10/02 17:05:00,AQUA_M-T,Brasil,SANTA CATARINA,TIMBO GRANDE,Mata Atlantica,11,0.5,0.4,-266.290,-507.340,55.4
2019/10/02 17:05:00,AQUA_M-T,Brasil,SANTA CATARINA,GASPAR,Mata Atlantica,12,0,0.2,-269.880,-488.840,11.7
2019/10/02 17:05:00,AQUA_M-T,Brasil,SANTA CATARINA,CURITIBANOS,Mata Atlantica,12,0.6,0.9,-271.010,-506.970,11.1
2019/10/02 17:05:00,AQUA_M-T,Brasil,SANTA CATARINA,CORREIA PINTO,Mata Atlantica,12,0.4,0.6,-275.470,-504.580,24.1
2019/10/02 17:05:00,AQUA_M-T,Brasil,BAHIA,SAO DESIDERIO,Cerrado,2,0,1,-125.200,-453.210,182.8
2019/10/02 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,MANGA,Cerrado,3,0,1,-145.030,-439.020,138.7
2019/10/02 17:10:00,AQUA_M-T,Brasil,PARA,ALTAMIRA,Amazonia,2,12.7,0,-44.490,-548.190,44.8
2019/10/02 17:10:00,AQUA_M-T,Brasil,PARA,ITAITUBA,Amazonia,2,10.9,0,-45.070,-558.790,8
2019/10/02 17:10:00,AQUA_M-T,Brasil,AMAZONAS,AUTAZES,Amazonia,3,0,0.1,-39.080,-596.110,75.2
2019/10/02 17:10:00,AQUA_M-T,Brasil,PARA,RUROPOLIS,Amazonia,3,0.2,0.7,-39.170,-548.280,65.7
2019/10/02 17:10:00,AQUA_M-T,Brasil,PARA,PLACAS,Amazonia,3,0.5,0.3,-39.180,-546.400,128.8
2019/10/02 17:10:00,AQUA_M-T,Brasil,AMAZONAS,ITACOATIARA,Amazonia,2,1.7,0,-32.440,-582.010,11.9
2019/10/02 17:10:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,1,0.2,0.6,-32.530,-504.340,25.7
2019/10/02 17:10:00,AQUA_M-T,Brasil,PARA,MOJUI DOS CAMPOS,Amazonia,3,0,0.5,-32.700,-544.830,19.2
2019/10/02 17:10:00,AQUA_M-T,Brasil,PARA,MEDICILANDIA,Amazonia,3,0.7,0.3,-32.810,-532.730,23.8
2019/10/02 17:10:00,AQUA_M-T,Brasil,AMAZONAS,BOA VISTA DO RAMOS,Amazonia,2,3.2,0,-33.040,-580.630,22.6
2019/10/02 17:10:00,AQUA_M-T,Brasil,AMAZONAS,MAUES,Amazonia,3,1.5,0.1,-34.100,-580.630,18.2
2019/10/02 17:10:00,AQUA_M-T,Brasil,PARA,URUARA,Amazonia,4,0.5,0.5,-34.490,-541.880,89
2019/10/08 16:35:00,AQUA_M-T,Brasil,CEARA,CANINDE,Caatinga,80,0,1,-44.750,-396.240,35.7
2019/10/08 16:35:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,5,0.9,0.8,-31.920,-492.500,22.9
2019/10/12 17:45:00,AQUA_M-T,Brasil,RONDONIA,ALTO PARAISO,Amazonia,1,8.8,0,-94.310,-635.410,10.1
2019/10/12 17:45:00,AQUA_M-T,Brasil,RONDONIA,VALE DO ANARI,Amazonia,0,0.8,0.1,-96.140,-620.380,19.3
2019/10/15 16:40:00,AQUA_M-T,Brasil,PIAUI,SEBASTIAO LEAL,Cerrado,14,0.3,1,-81.430,-442.440,15
2019/10/15 16:40:00,AQUA_M-T,Brasil,PIAUI,COLONIA DO GURGUEIA,Cerrado,14,0,1,-81.510,-436.080,22.9
2019/10/15 16:40:00,AQUA_M-T,Brasil,MARANHAO,FORMOSA DA SERRA NEGRA,Cerrado,10,0,1,-65.880,-461.780,39.8
2019/10/15 16:40:00,AQUA_M-T,Brasil,TOCANTINS,SAO BENTO DO TOCANTINS,Cerrado,9,0,1,-59.390,-477.240,10.9
2019/10/15 16:40:00,AQUA_M-T,Brasil,MARANHAO,GRAJAU,Cerrado,13,0,0.9,-59.500,-460.270,44.3
2019/10/16 17:20:00,AQUA_M-T,Brasil,GOIAS,NIQUELANDIA,Cerrado,7,0,1,-143.020,-489.240,76.3
2019/10/16 17:20:00,AQUA_M-T,Brasil,GOIAS,SAO JOAO D'ALIANCA,Cerrado,8,0,1,-146.730,-474.530,79
2019/10/16 17:20:00,AQUA_M-T,Brasil,MATO GROSSO,PARANATINGA,Cerrado,0,0.7,0.5,-146.320,-543.580,7.7
2019/10/16 17:20:00,AQUA_M-T,Brasil,MATO GROSSO,CAMPINAPOLIS,Cerrado,2,0.3,0.4,-146.650,-531.330,13.6
2019/10/16 17:20:00,AQUA_M-T,Brasil,MATO GROSSO,PLANALTO DA SERRA,Cerrado,0,4,0.1,-146.900,-547.630,16.3
2019/10/16 17:20:00,AQUA_M-T,Brasil,MATO GROSSO,ROSARIO OESTE,Cerrado,2,0.1,0.1,-147.390,-557.800,9.4
2019/10/16 17:20:00,AQUA_M-T,Brasil,MATO GROSSO,COCALINHO,Cerrado,4,0,0.9,-147.650,-514.320,16.6
2019/10/18 17:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,2,5.5,0.3,-200.580,-578.840,65.7
2019/10/18 17:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,MIRANDA,Pantanal,2,2.4,0.3,-201.990,-564.720,14.7
2019/10/18 17:05:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,PORTO MURTINHO,Pantanal,3,0.5,0.7,-208.530,-575.440,55.9
2019/10/18 17:05:00,AQUA_M-T,Brasil,GOIAS,POSSE,Cerrado,12,0,1,-143.570,-463.100,95.7
2019/10/18 17:05:00,AQUA_M-T,Brasil,GOIAS,CRIXAS,Cerrado,7,0.7,1,-144.990,-501.230,9.6
2019/10/18 17:05:00,AQUA_M-T,Brasil,GOIAS,FORMOSA,Cerrado,13,0,1,-147.200,-471.730,31.6
2019/10/18 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,UNAI,Cerrado,8,0,1,-164.250,-470.150,18.8
2019/10/18 17:05:00,AQUA_M-T,Brasil,GOIAS,CRISTALINA,Cerrado,9,0,1,-165.220,-474.790,21.1
2019/10/20 16:55:00,AQUA_M-T,Brasil,BAHIA,SERRA DOURADA,Cerrado,20,0,1,-126.830,-436.960,79.1
2019/10/20 16:55:00,AQUA_M-T,Brasil,BAHIA,SERRA DO RAMALHO,Cerrado,21,0,1,-137.530,-436.130,80.4
2019/10/20 16:55:00,AQUA_M-T,Brasil,PARA,XINGUARA,Amazonia,3,0,1,-67.230,-492.520,10.6
2019/10/20 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,CHAPADA DO NORTE,Cerrado,5,0.5,1,-170.720,-425.320,17.7
2019/10/20 16:55:00,AQUA_M-T,Brasil,PARA,SAO JOAO DO ARAGUAIA,Amazonia,4,0,0.6,-53.600,-489.890,20.4
2019/10/20 16:55:00,AQUA_M-T,Brasil,PARA,SAO GERALDO DO ARAGUAIA,Amazonia,5,0,1,-61.190,-487.070,77.7
2019/10/20 16:55:00,AQUA_M-T,Brasil,PARA,ELDORADO DO CARAJAS,Amazonia,6,0.2,0.8,-58.830,-490.460,8.1
2019/10/20 16:55:00,AQUA_M-T,Brasil,PARA,BOM JESUS DO TOCANTINS,Amazonia,0,2.7,0.2,-48.550,-487.460,107.1
2019/10/20 16:55:00,AQUA_M-T,Brasil,PARA,CONCEICAO DO ARAGUAIA,Amazonia,1,1.3,0,-77.070,-493.790,42.8
2019/10/20 16:55:00,AQUA_M-T,Brasil,BAHIA,CARAIBAS,Caatinga,16,0,1,-146.430,-412.980,40.3
2019/10/20 16:55:00,AQUA_M-T,Brasil,BAHIA,IACU,Caatinga,12,0,1,-129.540,-404.000,35.9
2019/10/20 16:55:00,AQUA_M-T,Brasil,PARA,FLORESTA DO ARAGUAIA,Amazonia,1,0,0,-73.100,-494.340,24.1
2019/10/20 16:55:00,AQUA_M-T,Brasil,BAHIA,TANHACU,Caatinga,16,0,1,-141.830,-411.410,118.7
2019/10/20 17:00:00,AQUA_M-T,Brasil,AMAPA,PRACUUBA,Amazonia,9,1.6,0.6,1.6490,-510.230,27.1
2019/10/20 17:00:00,AQUA_M-T,Brasil,AMAPA,CALCOENE,Amazonia,13,0.7,0.8,2.2370,-508.380,21.8
2019/01/02 18:05:00,AQUA_M-T,Brasil,AMAZONAS,SAO GABRIEL DA CACHOEIRA,Amazonia,7,0,-999,9.110,-671.780,19
2019/01/11 16:20:00,AQUA_M-T,Brasil,CEARA,CRATEUS,Caatinga,0,0.1,1,-54.300,-408.450,41.5
2019/01/11 16:20:00,AQUA_M-T,Brasil,CEARA,QUIXADA,Caatinga,0,0,0.4,-51.470,-390.830,10.2
2019/01/19 17:05:00,AQUA_M-T,Brasil,SAO PAULO,MONGAGUA,Mata Atlantica,-999,0,-999,-241.250,-466.950,8.6
2019/01/19 17:05:00,AQUA_M-T,Brasil,SAO PAULO,REGISTRO,Mata Atlantica,3,2.9,-999,-244.990,-478.450,12.6
2019/01/21 16:55:00,AQUA_M-T,Brasil,PARA,SANTANA DO ARAGUAIA,Amazonia,1,11.5,0,-96.410,-505.070,11.1
2019/01/24 15:50:00,AQUA_M-T,Brasil,CEARA,FORTIM,Caatinga,4,0.1,1,-45.320,-379.100,25.8
2019/01/27 16:20:00,AQUA_M-T,Brasil,MARANHAO,ARAIOSES,Caatinga,-999,0.9,0,-29.650,-419.330,12.4
2019/01/27 16:20:00,AQUA_M-T,Brasil,MARANHAO,AGUA DOCE DO MARANHAO,Cerrado,-999,0.6,0,-28.670,-421.450,16
2019/02/19 16:20:00,AQUA_M-T,Brasil,SAO PAULO,PRAIA GRANDE,Mata Atlantica,-999,0.1,-999,-240.310,-465.160,27
2019/04/14 15:50:00,AQUA_M-T,Brasil,PERNAMBUCO,IPOJUCA,Mata Atlantica,-999,0,-999,-83.970,-349.760,12.4
2019/05/10 16:25:00,AQUA_M-T,Brasil,MARANHAO,CODO,Cerrado,5,1.2,-999,-44.600,-438.880,7.2
2019/05/10 16:25:00,AQUA_M-T,Brasil,PIAUI,MIGUEL ALVES,Cerrado,5,0.8,0,-42.640,-429.630,21.7
2019/06/08 15:55:00,AQUA_M-T,Brasil,CEARA,MORADA NOVA,Caatinga,9,0.1,0.9,-49.420,-382.310,38.1
2019/06/13 17:45:00,AQUA_M-T,Brasil,PARANA,INACIO MARTINS,Mata Atlantica,10,0,0.1,-257.180,-512.020,38
2019/10/22 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,IBIAI,Cerrado,7,8.1,0.4,-169.160,-448.240,157.3
2019/10/22 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,FRANCISCOPOLIS,Mata Atlantica,15,28.5,0,-180.180,-421.340,12.1
2019/10/22 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,TEOFILO OTONI,Mata Atlantica,8,28.8,0,-180.230,-415.050,9.4
2019/10/22 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,PRESIDENTE OLEGARIO,Cerrado,5,3.4,0.2,-181.510,-461.680,11.1
2019/10/22 16:40:00,AQUA_M-T,Brasil,MINAS GERAIS,ITAMBACURI,Mata Atlantica,7,31.2,0,-181.630,-420.080,10.3
2019/10/24 16:35:00,AQUA_M-T,Brasil,MARANHAO,CHAPADINHA,Cerrado,0,0.3,0.4,-41.410,-433.730,10
2019/10/24 16:35:00,AQUA_M-T,Brasil,MARANHAO,PERITORO,Cerrado,0,0.1,0.1,-42.970,-443.330,70.9
2019/10/24 16:35:00,AQUA_M-T,Brasil,MARANHAO,COROATA,Cerrado,0,0.1,0.1,-42.760,-441.270,17.4
2019/10/24 16:35:00,AQUA_M-T,Brasil,PARA,RONDON DO PARA,Amazonia,0,7,0.1,-42.500,-486.230,23.2
2019/10/24 16:35:00,AQUA_M-T,Brasil,MARANHAO,CONCEICAO DO LAGO-ACU,Amazonia,1,3.5,0,-37.780,-449.550,75.3
2019/10/24 16:35:00,AQUA_M-T,Brasil,PARA,SENADOR JOSE PORFIRIO,Amazonia,2,0,0.1,-37.970,-518.510,44.3
2019/10/24 16:35:00,AQUA_M-T,Brasil,MARANHAO,BOM JARDIM,Amazonia,0,0,0.7,-38.110,-465.340,108
2019/10/24 16:35:00,AQUA_M-T,Brasil,MARANHAO,BARRA DO CORDA,Cerrado,0,0,0.6,-51.820,-451.140,9
2019/10/24 16:35:00,AQUA_M-T,Brasil,MARANHAO,ARAME,Amazonia,1,0,0.1,-51.190,-460.960,19.4
2019/10/24 16:35:00,AQUA_M-T,Brasil,MARANHAO,ITAIPAVA DO GRAJAU,Cerrado,1,0,1,-51.170,-453.700,24.2
2019/10/24 16:35:00,AQUA_M-T,Brasil,MARANHAO,SAO RAIMUNDO DO DOCA BEZERRA,Cerrado,0,0,1,-51.100,-451.960,12.1
2019/10/25 17:15:00,AQUA_M-T,Brasil,TOCANTINS,TAIPAS DO TOCANTINS,Cerrado,1,5.4,0.4,-120.280,-470.030,27.2
2019/10/25 17:10:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,PARANAIBA,Cerrado,3,0,1,-193.790,-514.910,16.9
2019/10/25 17:10:00,AQUA_M-T,Brasil,MINAS GERAIS,UNIAO DE MINAS,Cerrado,3,0,0.9,-192.650,-504.750,20.9
2019/10/25 17:10:00,AQUA_M-T,Brasil,PARANA,CORONEL DOMINGOS SOARES,Mata Atlantica,3,0,1,-260.010,-519.490,20.4
2019/10/25 17:10:00,AQUA_M-T,Brasil,PARANA,MALLET,Mata Atlantica,4,0,0.3,-259.400,-508.110,15.7
2019/10/25 17:10:00,AQUA_M-T,Brasil,PARANA,CRUZ MACHADO,Mata Atlantica,4,0,0.2,-258.860,-512.860,66.1
2019/10/26 16:20:00,AQUA_M-T,Brasil,BAHIA,NOVA CANAA,Mata Atlantica,2,0,0,-149.490,-401.510,12.2
2019/10/26 16:20:00,AQUA_M-T,Brasil,MARANHAO,ROSARIO,Amazonia,0,0,0.5,-30.010,-441.830,10.1
2019/10/26 16:20:00,AQUA_M-T,Brasil,MARANHAO,PEDRO DO ROSARIO,Amazonia,2,0.1,0.5,-30.110,-453.350,11.4
2019/10/26 16:20:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,0,0.1,0.5,-30.220,-469.530,28.4
2019/10/26 16:20:00,AQUA_M-T,Brasil,MARANHAO,PIRAPEMAS,Cerrado,0,2.1,0.1,-38.170,-443.250,89
2019/10/26 16:20:00,AQUA_M-T,Brasil,PARA,MARABA,Amazonia,0,0.2,0.1,-58.550,-494.510,57
2019/10/26 17:55:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,4,0,0.9,-197.750,-559.080,72.5
2019/10/27 17:05:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,2,1.6,0.5,-36.020,-499.630,201.6
2019/10/27 17:05:00,AQUA_M-T,Brasil,AMAZONAS,NOVA OLINDA DO NORTE,Amazonia,0,0.3,0,-36.510,-582.540,12.1
2019/10/27 17:05:00,AQUA_M-T,Brasil,PARA,PORTO DE MOZ,Amazonia,4,0.2,0.6,-19.280,-526.440,37.2
2019/10/28 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,COLNIZA,Amazonia,0,3.6,0.1,-90.130,-605.290,13.1
2019/10/28 17:45:00,AQUA_M-T,Brasil,AMAZONAS,UARINI,Amazonia,2,1.2,0,-31.150,-652.370,69.1
2019/10/28 17:45:00,AQUA_M-T,Brasil,AMAZONAS,ALVARAES,Amazonia,1,3.4,0,-31.220,-649.540,42.4
2019/10/30 17:30:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,8,0,1,-171.730,-574.370,47.4
2019/10/30 17:30:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,NIOAQUE,Cerrado,9,0,0.5,-211.700,-557.370,52.6
2019/11/01 15:45:00,AQUA_M-T,Brasil,PARAIBA,SAO MAMEDE,Caatinga,56,0,1,-69.090,-370.360,16.6
2019/11/01 15:45:00,AQUA_M-T,Brasil,RIO GRANDE DO NORTE,SERRA NEGRA DO NORTE,Caatinga,39,0,1,-66.660,-374.670,42.2
2019/11/02 16:25:00,AQUA_M-T,Brasil,MARANHAO,SANTA RITA,Amazonia,7,0.3,0.6,-31.560,-442.280,11.4
2019/11/02 16:25:00,AQUA_M-T,Brasil,PARA,IPIXUNA DO PARA,Amazonia,9,3.1,0.4,-31.380,-483.040,19.3
2019/11/02 16:25:00,AQUA_M-T,Brasil,PARA,ANAPU,Amazonia,7,0.5,0.7,-31.250,-512.750,39.8
2019/11/02 16:25:00,AQUA_M-T,Brasil,PARA,TAILANDIA,Amazonia,7,0,1,-31.000,-489.400,11.4
2019/11/02 16:25:00,AQUA_M-T,Brasil,PIAUI,SAO MIGUEL DO FIDALGO,Caatinga,3,0,1,-76.340,-423.210,22.4
2019/11/02 16:25:00,AQUA_M-T,Brasil,PARAIBA,PRINCESA ISABEL,Caatinga,13,0,1,-75.420,-380.030,25.4
2019/11/02 16:25:00,AQUA_M-T,Brasil,PARA,CAPITAO POCO,Amazonia,4,0.4,0.8,-17.280,-471.140,15.1
2019/11/04 17:50:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,JATEI,Mata Atlantica,0,0,0.1,-228.350,-535.850,76.5
2019/11/06 17:35:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,2,0.4,1,-176.900,-570.650,36
2019/11/06 17:35:00,AQUA_M-T,Brasil,MATO GROSSO,MIRASSOL D'OESTE,Amazonia,0,0.9,0.6,-157.730,-582.300,12
2019/11/06 17:35:00,AQUA_M-T,Brasil,GOIAS,ITAPACI,Cerrado,0,0.8,0.6,-149.900,-495.450,97.9
2019/11/06 17:40:00,AQUA_M-T,Brasil,AMAZONAS,HUMAITA,Amazonia,0,1.6,0,-70.520,-630.410,9.9
2019/11/06 17:40:00,AQUA_M-T,Brasil,AMAZONAS,APUI,Amazonia,0,5.6,0,-70.530,-596.010,22.6
2019/11/06 17:40:00,AQUA_M-T,Brasil,RONDONIA,RIO CRESPO,Amazonia,2,20.9,0,-96.340,-628.290,26.2
2019/11/07 16:45:00,AQUA_M-T,Brasil,PARA,PRAINHA,Amazonia,2,0,0.4,-23.450,-538.560,44.7
2019/11/07 16:45:00,AQUA_M-T,Brasil,MARANHAO,ITAPECURU MIRIM,Cerrado,3,0.3,0.5,-34.380,-444.250,35.3
2019/11/07 16:45:00,AQUA_M-T,Brasil,PARA,SANTAREM,Amazonia,3,0,0.2,-23.200,-553.100,116.7
2019/11/07 16:45:00,AQUA_M-T,Brasil,PIAUI,PIRACURUCA,Caatinga,4,0,1,-36.740,-418.220,194.7
2019/11/07 16:45:00,AQUA_M-T,Brasil,PARA,ALMEIRIM,Amazonia,4,0,0.7,-13.750,-522.720,13.5
2019/11/07 16:45:00,AQUA_M-T,Brasil,PIAUI,CURIMATA,Cerrado,14,0,1,-99.160,-443.850,35.1
2019/11/07 16:45:00,AQUA_M-T,Brasil,MARANHAO,VIANA,Amazonia,3,0.3,0.7,-30.940,-452.730,17.5
2019/11/07 16:45:00,AQUA_M-T,Brasil,MATO GROSSO,NOVO SANTO ANTONIO,Cerrado,0,0,0.1,-121.750,-512.980,38.6
2019/11/07 16:45:00,AQUA_M-T,Brasil,PERNAMBUCO,SANTA MARIA DA BOA VISTA,Caatinga,3,0,1,-84.700,-400.580,468.1
2019/11/07 16:45:00,AQUA_M-T,Brasil,PARA,SAO DOMINGOS DO CAPIM,Amazonia,0,1.1,0.1,-19.610,-478.040,6.5
2019/11/07 16:45:00,AQUA_M-T,Brasil,MATO GROSSO,SAO FELIX DO ARAGUAIA,Amazonia,0,0,0,-116.060,-524.740,28.2
2019/11/07 16:45:00,AQUA_M-T,Brasil,MATO GROSSO,BOM JESUS DO ARAGUAIA,Amazonia,0,0,0,-119.020,-519.200,28.8
2019/11/07 16:45:00,AQUA_M-T,Brasil,MATO GROSSO,SANTA CARMEM,Amazonia,5,0.8,0.2,-120.720,-547.780,31.5
2019/11/07 16:45:00,AQUA_M-T,Brasil,PARA,SALINOPOLIS,Amazonia,7,0,0.8,-6.840,-473.640,49.8
2019/11/07 16:45:00,AQUA_M-T,Brasil,BAHIA,SANTA RITA DE CASSIA,Cerrado,5,0,1,-106.890,-442.610,17.1
2019/11/07 16:45:00,AQUA_M-T,Brasil,BAHIA,BREJOLANDIA,Cerrado,14,0,1,-124.690,-437.870,26.7
2019/11/07 16:45:00,AQUA_M-T,Brasil,PIAUI,PARNAGUA,Cerrado,11,0,1,-102.810,-444.250,11.5
2019/11/07 16:45:00,AQUA_M-T,Brasil,PARA,AVEIRO,Amazonia,3,0,0.3,-35.780,-553.810,26
2019/11/08 17:20:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,SANTIAGO,Pampa,0,0,-999,-291.900,-548.650,7.9
2019/11/08 17:20:00,AQUA_M-T,Brasil,RIO GRANDE DO SUL,PIRATINI,Pampa,3,0,0,-312.100,-530.850,9.8
2019/11/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,RESPLENDOR,Mata Atlantica,7,0,1,-191.630,-411.570,20.5
2019/11/09 16:30:00,AQUA_M-T,Brasil,ESPIRITO SANTO,COLATINA,Mata Atlantica,7,0,1,-192.440,-406.340,9.3
2019/11/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,CHAPADA GAUCHA,Cerrado,7,0,1,-156.640,-452.480,46.3
2019/11/09 16:30:00,AQUA_M-T,Brasil,BAHIA,COCOS,Cerrado,13,0,1,-143.010,-447.010,210.2
2019/11/09 16:30:00,AQUA_M-T,Brasil,ESPIRITO SANTO,CONCEICAO DA BARRA,Mata Atlantica,8,0,1,-183.070,-398.980,22.9
2019/11/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,0,0.9,0.3,-198.290,-471.050,38.6
2019/11/09 16:30:00,AQUA_M-T,Brasil,BAHIA,TABOCAS DO BREJO VELHO,Cerrado,16,0,1,-124.240,-441.060,53.9
2019/11/09 16:30:00,AQUA_M-T,Brasil,PIAUI,MONTE ALEGRE DO PIAUI,Cerrado,4,0.1,1,-96.770,-449.780,37.8
2019/11/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,GRAO MOGOL,Cerrado,14,0,1,-161.570,-428.590,112.5
2019/11/09 16:30:00,AQUA_M-T,Brasil,ESPIRITO SANTO,LINHARES,Mata Atlantica,7,0,1,-192.420,-397.520,29.9
2019/11/09 16:30:00,AQUA_M-T,Brasil,PIAUI,OEIRAS,Caatinga,5,0.5,1,-71.430,-419.870,20.6
2019/11/09 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,CARLOS CHAGAS,Mata Atlantica,14,0,1,-177.880,-407.460,226.9
2019/11/09 16:30:00,AQUA_M-T,Brasil,PIAUI,SAO MIGUEL DO TAPUIO,Caatinga,19,0,1,-54.700,-411.180,69
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHAO,SAO BENTO,Amazonia,6,0,0.9,-28.410,-452.160,20.9
2019/11/09 16:35:00,AQUA_M-T,Brasil,CEARA,COREAU,Caatinga,114,0,1,-37.040,-407.340,31.1
2019/11/09 16:35:00,AQUA_M-T,Brasil,PARA,BAIAO,Amazonia,5,8.1,0.1,-36.380,-499.040,22.2
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHAO,URBANO SANTOS,Cerrado,18,0,1,-33.180,-431.450,26.3
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHAO,BARREIRINHAS,Cerrado,10,0.3,0.9,-30.590,-428.840,28.3
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHAO,CURURUPU,Amazonia,-999,0,1,-18.620,-448.080,106
2019/11/09 16:35:00,AQUA_M-T,Brasil,PARA,SAO JOAO DE PIRABAS,Amazonia,16,0,0.9,-8.530,-472.670,29.8
2019/11/09 16:35:00,AQUA_M-T,Brasil,MARANHAO,BURITI,Cerrado,5,0.5,1,-37.990,-429.800,22.3
2019/11/11 16:20:00,AQUA_M-T,Brasil,PIAUI,PIMENTEIRAS,Caatinga,4,0,1,-62.980,-415.010,140.4
2019/11/13 16:10:00,AQUA_M-T,Brasil,CEARA,IPU,Caatinga,119,0,1,-43.340,-407.250,23.7
2019/11/13 16:10:00,AQUA_M-T,Brasil,CEARA,PORANGA,Caatinga,20,0,1,-46.710,-410.920,41.9
2019/11/15 15:55:00,AQUA_M-T,Brasil,CEARA,BARRO,Caatinga,52,0,1,-71.470,-388.430,37.4
2019/11/15 15:55:00,AQUA_M-T,Brasil,PARAIBA,SAO JOSE DE CAIANA,Caatinga,26,0,1,-71.810,-383.290,110.3
2019/11/15 15:55:00,AQUA_M-T,Brasil,CEARA,ARARIPE,Caatinga,15,0,1,-72.100,-402.260,81.4
2019/11/15 15:55:00,AQUA_M-T,Brasil,PARAIBA,OLHO D'AGUA,Caatinga,53,0,1,-72.400,-377.080,24.6
2019/11/15 15:55:00,AQUA_M-T,Brasil,PERNAMBUCO,BODOCO,Caatinga,17,0,1,-73.880,-400.990,50.9
2019/11/15 15:55:00,AQUA_M-T,Brasil,PIAUI,SAO JOSE DO PEIXE,Caatinga,13,0,1,-74.210,-424.710,34.6
2019/11/16 16:40:00,AQUA_M-T,Brasil,PARA,NOVA ESPERANCA DO PIRIA,Amazonia,7,0,0.9,-25.800,-473.120,6.6
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHAO,SANTA HELENA,Amazonia,12,0.3,1,-25.820,-455.240,20.9
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHAO,PRESIDENTE SARNEY,Amazonia,12,0.2,1,-25.870,-453.660,8.6
2019/11/16 16:40:00,AQUA_M-T,Brasil,PARA,SAO DOMINGOS DO ARAGUAIA,Amazonia,6,0.2,1,-56.880,-487.860,23.6
2019/11/16 16:40:00,AQUA_M-T,Brasil,PARA,IGARAPE-MIRI,Amazonia,7,0,0.6,-21.720,-491.140,23
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHAO,ITINGA DO MARANHAO,Amazonia,7,0,1,-39.800,-470.700,13
2019/11/16 16:40:00,AQUA_M-T,Brasil,CEARA,FRECHEIRINHA,Caatinga,119,0,1,-36.960,-407.880,33.1
2019/11/16 16:40:00,AQUA_M-T,Brasil,CEARA,CAUCAIA,Caatinga,78,0,1,-39.560,-388.060,30.4
2019/11/16 16:40:00,AQUA_M-T,Brasil,CEARA,CARIRE,Caatinga,120,0,1,-39.830,-406.280,33.1
2019/11/16 16:40:00,AQUA_M-T,Brasil,PIAUI,BATALHA,Caatinga,13,0.1,1,-39.920,-421.550,228.9
2019/11/16 16:40:00,AQUA_M-T,Brasil,CEARA,TEJUCUOCA,Caatinga,120,0,1,-40.170,-396.520,62.3
2019/11/16 16:40:00,AQUA_M-T,Brasil,CEARA,MARANGUAPE,Caatinga,40,0,1,-40.550,-388.540,38.9
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHAO,LORETO,Cerrado,7,0.7,1,-68.890,-451.420,14.2
2019/11/16 16:40:00,AQUA_M-T,Brasil,MARANHAO,SAO RAIMUNDO DAS MANGABEIRAS,Cerrado,7,0.5,0.6,-70.240,-456.290,12.9
